month,total_ev,elec_price,gas_price,model_id_count,brand_id_count,ev_stations,elecv_totals,hybrid_totals
2012-01-01,1257,0.128,3.38,4,4,2057,652,605
2012-02-01,1566,0.128,3.579,4,4,2130,522,1044
2012-03-01,3815,0.127,3.852,4,4,2213,635,3180
2012-04-01,3565,0.127,3.9,4,4,2273,449,3116
2012-05-01,3367,0.129,3.732,5,5,2367,595,2772
2012-06-01,2524,0.135,3.539,6,6,2439,580,1944
2012-07-01,3029,0.133,3.439,7,7,2497,454,2575
2012-08-01,4686,0.133,3.722,7,7,2550,774,3912
2012-09-01,5745,0.133,3.849,8,7,2576,1183,4562
2012-10-01,7084,0.128,3.746,9,7,2771,1972,5112
2012-11-01,6155,0.127,3.452,9,7,2818,2039,4116
2012-12-01,8554,0.127,3.31,9,7,2872,3427,5127
2013-01-01,4577,0.129,3.319,11,8,2928,2223,2354
2013-02-01,5404,0.129,3.67,11,7,2977,2615,2789
2013-03-01,7982,0.128,3.711,11,7,3043,4903,3079
2013-04-01,7138,0.128,3.57,11,7,3103,4403,2735
2013-05-01,7454,0.131,3.615,12,8,3130,4245,3209
2013-06-01,8292,0.137,3.626,13,8,3222,4123,4169
2013-07-01,7392,0.137,3.591,14,9,3270,3893,3499
2013-08-01,11273,0.137,3.574,14,9,3324,4866,6407
2013-09-01,8927,0.137,3.532,14,9,3370,4450,4477
2013-10-01,10055,0.132,3.344,15,10,3427,3653,6402
2013-11-01,9003,0.13,3.243,15,10,3493,4100,4903
2013-12-01,10010,0.131,3.276,16,11,3556,4990,5020
2014-01-01,5620,0.134,3.313,16,11,3668,2746,2874
2014-02-01,6984,0.134,3.356,16,11,3737,3249,3735
2014-03-01,9644,0.135,3.533,16,11,3784,5050,4594
2014-04-01,8883,0.131,3.661,16,11,3848,4171,4712
2014-05-01,12362,0.136,3.673,17,12,3904,5711,6651
2014-06-01,12063,0.143,3.692,17,12,3986,5552,6511
2014-07-01,11242,0.143,3.611,18,13,4057,5502,5740
2014-08-01,12172,0.143,3.487,19,13,4169,6252,5920
2014-09-01,10921,0.141,3.406,19,13,4275,7564,3357
2014-10-01,9739,0.136,3.171,21,15,4346,6004,3735
2014-11-01,9646,0.134,2.912,22,15,4414,6037,3609
2014-12-01,13038,0.135,2.543,22,15,4488,9183,3855
2015-01-01,6040,0.138,2.116,21,15,4615,3910,2130
2015-02-01,6949,0.138,2.216,21,15,4683,4381,2568
2015-03-01,10336,0.136,2.464,21,15,4791,7306,3030
2015-04-01,9090,0.137,2.469,21,15,4987,6100,2990
2015-05-01,11536,0.137,2.718,21,15,5127,7106,4430
2015-06-01,10364,0.143,2.802,21,15,5274,6927,3437
2015-07-01,8951,0.142,2.794,22,15,5388,5075,3876
2015-08-01,8972,0.142,2.636,23,16,5543,5164,3808
2015-09-01,10134,0.141,2.365,22,14,5648,7092,3042
2015-10-01,9924,0.136,2.29,23,15,5943,5726,4198
2015-11-01,10070,0.134,2.158,26,17,6110,5911,4159
2015-12-01,13699,0.133,2.038,26,18,6278,8120,5579
2016-01-01,6211,0.134,1.949,24,16,6579,3411,2800
2016-02-01,7757,0.134,1.764,24,16,6838,4102,3655
2016-03-01,13849,0.134,1.969,25,16,7034,8879,4970
2016-04-01,10527,0.134,2.113,25,16,7179,5010,5517
2016-05-01,11463,0.133,2.268,25,16,7357,6224,5239
2016-06-01,14852,0.138,2.366,26,16,7489,9078,5774
2016-07-01,13063,0.139,2.239,26,16,7640,6866,6197
2016-08-01,14590,0.139,2.178,26,16,7849,8581,6009
2016-09-01,17220,0.139,2.219,26,16,7995,11514,5706
2016-10-01,11007,0.134,2.249,26,16,8110,5407,5600
2016-11-01,13237,0.131,2.182,27,17,8238,5763,7474
2016-12-01,24785,0.133,2.254,30,17,8451,15088,9697
2017-01-01,11005,0.134,2.349,32,18,8614,5683,5322
2017-02-01,12377,0.135,2.304,30,16,8733,6605,5772
2017-03-01,18541,0.134,2.325,32,17,9001,11551,6990
2017-04-01,13365,0.135,2.417,34,17,9095,6241,7124
2017-05-01,16596,0.137,2.391,32,17,9210,8345,8251
2017-06-01,17046,0.142,2.347,33,18,9303,9498,7548
2017-07-01,15540,0.143,2.3,36,18,9415,8299,7241
2017-08-01,16514,0.142,2.38,37,19,9500,8950,7564
2017-09-01,21242,0.142,2.645,37,19,10152,13511,7731
2017-10-01,14315,0.137,2.505,37,19,10256,6810,7505
2017-11-01,17165,0.136,2.564,38,19,10379,7991,9174
2017-12-01,25209,0.136,2.477,38,20,10471,14972,10237
2018-01-01,11807,0.135,2.555,39,20,10575,6103,5704
2018-02-01,16768,0.135,2.587,40,20,10604,8958,7810
2018-03-01,26335,0.135,2.591,40,20,10757,15824,10511
2018-04-01,19577,0.134,2.757,40,20,10928,10128,9449
2018-05-01,24241,0.136,2.901,40,20,11033,13457,10784
2018-06-01,24896,0.139,2.891,39,20,11248,15384,9512
2018-07-01,29461,0.139,2.849,39,20,11512,20705,8756
2018-08-01,36251,0.139,2.836,40,20,11675,27018,9233
2018-09-01,44424,0.138,2.836,39,20,11863,34330,10094
2018-10-01,33947,0.136,2.86,39,21,12078,24943,9004
2018-11-01,42513,0.134,2.647,38,21,13110,30683,11830
2018-12-01,49779,0.135,2.366,39,21,13331,37566,12213
2019-01-01,15878,0.135,2.248,37,21,13555,10229,5649
2019-02-01,16166,0.136,2.309,40,22,13826,10116,6050
2019-03-01,25244,0.135,2.516,39,22,14223,17603,7641
2019-04-01,20293,0.135,2.798,40,22,14693,14680,5613
2019-05-01,27099,0.136,2.859,37,21,15045,20374,6725
2019-06-01,35905,0.139,2.716,39,22,15224,29286,6619
2019-07-01,25413,0.14,2.74,40,22,15447,18031,7382
2019-08-01,26455,0.139,2.621,40,22,15982,19522,6933
2019-09-01,31833,0.139,2.592,39,22,16600,26422,5411
2019-10-01,8665,0.136,2.627,32,16,16926,3509,5156
2019-11-01,10180,0.133,2.598,30,15,17280,4307,5873
2019-12-01,9170,0.133,2.555,31,15,17645,3442,5728
2012-01-01,1257,0.128,3.38,4,4,2057,652,605
2012-02-01,1566,0.128,3.579,4,4,2130,522,1044
2012-03-01,3815,0.127,3.852,4,4,2213,635,3180
2012-04-01,3565,0.127,3.9,4,4,2273,449,3116
2012-05-01,3367,0.129,3.732,5,5,2367,595,2772
2012-06-01,2524,0.135,3.539,6,6,2439,580,1944
2012-07-01,3029,0.133,3.439,7,7,2497,454,2575
2012-08-01,4686,0.133,3.722,7,7,2550,774,3912
2012-09-01,5745,0.133,3.849,8,7,2576,1183,4562
2012-10-01,7084,0.128,3.746,9,7,2771,1972,5112
2012-11-01,6155,0.127,3.452,9,7,2818,2039,4116
2012-12-01,8554,0.127,3.31,9,7,2872,3427,5127
2013-01-01,4577,0.129,3.319,11,8,2928,2223,2354
2013-02-01,5404,0.129,3.67,11,7,2977,2615,2789
2013-03-01,7982,0.128,3.711,11,7,3043,4903,3079
2013-04-01,7138,0.128,3.57,11,7,3103,4403,2735
2013-05-01,7454,0.131,3.615,12,8,3130,4245,3209
2013-06-01,8292,0.137,3.626,13,8,3222,4123,4169
2013-07-01,7392,0.137,3.591,14,9,3270,3893,3499
2013-08-01,11273,0.137,3.574,14,9,3324,4866,6407
2013-09-01,8927,0.137,3.532,14,9,3370,4450,4477
2013-10-01,10055,0.132,3.344,15,10,3427,3653,6402
2013-11-01,9003,0.13,3.243,15,10,3493,4100,4903
2013-12-01,10010,0.131,3.276,16,11,3556,4990,5020
2014-01-01,5620,0.134,3.313,16,11,3668,2746,2874
2014-02-01,6984,0.134,3.356,16,11,3737,3249,3735
2014-03-01,9644,0.135,3.533,16,11,3784,5050,4594
2014-04-01,8883,0.131,3.661,16,11,3848,4171,4712
2014-05-01,12362,0.136,3.673,17,12,3904,5711,6651
2014-06-01,12063,0.143,3.692,17,12,3986,5552,6511
2014-07-01,11242,0.143,3.611,18,13,4057,5502,5740
2014-08-01,12172,0.143,3.487,19,13,4169,6252,5920
2014-09-01,10921,0.141,3.406,19,13,4275,7564,3357
2014-10-01,9739,0.136,3.171,21,15,4346,6004,3735
2014-11-01,9646,0.134,2.912,22,15,4414,6037,3609
2014-12-01,13038,0.135,2.543,22,15,4488,9183,3855
2015-01-01,6040,0.138,2.116,21,15,4615,3910,2130
2015-02-01,6949,0.138,2.216,21,15,4683,4381,2568
2015-03-01,10336,0.136,2.464,21,15,4791,7306,3030
2015-04-01,9090,0.137,2.469,21,15,4987,6100,2990
2015-05-01,11536,0.137,2.718,21,15,5127,7106,4430
2015-06-01,10364,0.143,2.802,21,15,5274,6927,3437
2015-07-01,8951,0.142,2.794,22,15,5388,5075,3876
2015-08-01,8972,0.142,2.636,23,16,5543,5164,3808
2015-09-01,10134,0.141,2.365,22,14,5648,7092,3042
2015-10-01,9924,0.136,2.29,23,15,5943,5726,4198
2015-11-01,10070,0.134,2.158,26,17,6110,5911,4159
2015-12-01,13699,0.133,2.038,26,18,6278,8120,5579
2016-01-01,6211,0.134,1.949,24,16,6579,3411,2800
2016-02-01,7757,0.134,1.764,24,16,6838,4102,3655
2016-03-01,13849,0.134,1.969,25,16,7034,8879,4970
2016-04-01,10527,0.134,2.113,25,16,7179,5010,5517
2016-05-01,11463,0.133,2.268,25,16,7357,6224,5239
2016-06-01,14852,0.138,2.366,26,16,7489,9078,5774
2016-07-01,13063,0.139,2.239,26,16,7640,6866,6197
2016-08-01,14590,0.139,2.178,26,16,7849,8581,6009
2016-09-01,17220,0.139,2.219,26,16,7995,11514,5706
2016-10-01,11007,0.134,2.249,26,16,8110,5407,5600
2016-11-01,13237,0.131,2.182,27,17,8238,5763,7474
2016-12-01,24785,0.133,2.254,30,17,8451,15088,9697
2017-01-01,11005,0.134,2.349,32,18,8614,5683,5322
2017-02-01,12377,0.135,2.304,30,16,8733,6605,5772
2017-03-01,18541,0.134,2.325,32,17,9001,11551,6990
2017-04-01,13365,0.135,2.417,34,17,9095,6241,7124
2017-05-01,16596,0.137,2.391,32,17,9210,8345,8251
2017-06-01,17046,0.142,2.347,33,18,9303,9498,7548
2017-07-01,15540,0.143,2.3,36,18,9415,8299,7241
2017-08-01,16514,0.142,2.38,37,19,9500,8950,7564
2017-09-01,21242,0.142,2.645,37,19,10152,13511,7731
2017-10-01,14315,0.137,2.505,37,19,10256,6810,7505
2017-11-01,17165,0.136,2.564,38,19,10379,7991,9174
2017-12-01,25209,0.136,2.477,38,20,10471,14972,10237
2018-01-01,11807,0.135,2.555,39,20,10575,6103,5704
2018-02-01,16768,0.135,2.587,40,20,10604,8958,7810
2018-03-01,26335,0.135,2.591,40,20,10757,15824,10511
2018-04-01,19577,0.134,2.757,40,20,10928,10128,9449
2018-05-01,24241,0.136,2.901,40,20,11033,13457,10784
2018-06-01,24896,0.139,2.891,39,20,11248,15384,9512
2018-07-01,29461,0.139,2.849,39,20,11512,20705,8756
2018-08-01,36251,0.139,2.836,40,20,11675,27018,9233
2018-09-01,44424,0.138,2.836,39,20,11863,34330,10094
2018-10-01,33947,0.136,2.86,39,21,12078,24943,9004
2018-11-01,42513,0.134,2.647,38,21,13110,30683,11830
2018-12-01,49779,0.135,2.366,39,21,13331,37566,12213
2019-01-01,15878,0.135,2.248,37,21,13555,10229,5649
2019-02-01,16166,0.136,2.309,40,22,13826,10116,6050
2019-03-01,25244,0.135,2.516,39,22,14223,17603,7641
2019-04-01,20293,0.135,2.798,40,22,14693,14680,5613
2019-05-01,27099,0.136,2.859,37,21,15045,20374,6725
2019-06-01,35905,0.139,2.716,39,22,15224,29286,6619
2019-07-01,25413,0.14,2.74,40,22,15447,18031,7382
2019-08-01,26455,0.139,2.621,40,22,15982,19522,6933
2019-09-01,31833,0.139,2.592,39,22,16600,26422,5411
2019-10-01,8665,0.136,2.627,32,16,16926,3509,5156
2019-11-01,10180,0.133,2.598,30,15,17280,4307,5873
2019-12-01,9170,0.133,2.555,31,15,17645,3442,5728
